nbhd_name,swat_count
Athmar Park,6
Baker,4
Barnum,4
Barnum West,1
Bear Valley,3
Berkeley,1
Capitol Hill,1
Central Park,3
Chaffee Park,2
Cherry Creek,1
City Park West,1
Clayton,4
Cole,2
College View - South Platte,3
Congress Park,1
Cory - Merrill,1
East Colfax,5
Elyria Swansea,2
Five Points,6
Fort Logan,1
Gateway - Green Valley Ranch,6
Globeville,5
Goldsmith,1
Hampden,9
Hampden South,7
Harvey Park,3
Harvey Park South,6
Highland,2
Kennedy,7
Lincoln Park,1
Mar Lee,4
Marston,1
Montbello,12
Montclair,2
North Capitol Hill,1
North Park Hill,4
Northeast Park Hill,3
Outside of Denver,1
Overland,1
Regis,1
Ruby Hill,3
Sloan Lake,5
Speer,1
Sunnyside,4
Union Station,1
University,1
University Hills,1
University Park,2
Valverde,2
Villa Park,9
Washington Virginia Vale,2
West Colfax,7
Westwood,16
Whittier,1
Windsor,3
